name	cusip	firstyr	gvkey	lastyr	pdpco	pdpseq	begyr	endyr	match
"REINSURANCE GROUP AMER INC"	"759351"	1992	28216	2006	28216	1	1992	2006	
"3DO CO"	"88553W"	1992	28217	2001	28217	1	1992	2001	1
"NEOZYME II CORP"	"G6420H"	1992	28220	1994	28220	1	1992	1994	0
"TECNOMATIX TECHNOLOGIES LTD"	"M8743P"	1992	28221	2003	28221	1	1992	2003	0
"CALIFORNIA QUARTZ INC"	"130557"	1993	28227	1994	28227	1	1993	1994	
"TEXOIL INC"	"882906"	1993	28229	1999	28229	1	1993	1999	0
"BUENOS AIRES EMBT  -ADR B"	"119424"	1992	28230	1999	28230	1	1992	1999	
"BLANCH E W HOLDINGS INC"	"093210"	1992	28231	2000	28231	1	1992	2000	0
"ENVIROPUR WASTE REFNG TECH"	"29409U"	1993	28232	1995	28232	1	1993	1995	1
"GILAT SATELLITE NETWORKS LTD"	"M51474"	1992	28236	2006	28236	1	1992	2006	1
"ATA HOLDINGS CORP"	"00209H"	1992	28248	2004	28248	1	1992	2004	
"CATALYST SEMICONDUCTOR INC"	"148881"	1992	28249	2006	28249	1	1992	2006	1
"AMFM INC"	"001693"	1992	28250	1999	28250	1	1992	1999	
"MEDISYS TECHNOLOGIES INC"	"584953"	1999	28251	2000	28251	1	1999	2000	1
"OCCUPATIONAL HLTH &REHAB INC"	"674617"	1992	28252	2004	28252	1	1992	2004	
"AUSPEX SYSTEMS INC"	"052116"	1992	28253	2002	28253	1	1992	2002	1
"ARGENTARIA CAJA POSTAL  -ADR"	"04011W"	1992	28255	1998	28255	1	1992	1998	0
"XTO ENERGY INC"	"98385X"	1992	28256	2006	28256	1	1992	2006	
"NATIONAL TIRE SERVICES INC"	"638206"	1992	28257	1993	28257	1	1992	1993	
"QUAD SYSTEMS CORP"	"74730Q"	1992	28258	1999	28258	1	1992	1999	1
"ZURICH REINS CENTRE HLDGS"	"989822"	1992	28259	1996	28259	1	1992	1996	0
"BLACK HAWK GAMING&DEV CO INC"	"092067"	1992	28260	2000	28260	1	1992	2000	
"NATUZZI  SPA -ADR"	"63905A"	1992	28262	2005	28262	1	1992	2005	1
"INTL NESMONT INDUSTRIAL CORP"	"459947"	1992	28263	1992	28263	1	1992	1992	0
"LCI INTERNATIONAL INC"	"501813"	1992	28264	1997	28264	1	1992	1997	1
"AVIDYN INC"	"053678"	1992	28265	2001	28265	1	1992	2001	0
"OPTI INC"	"683960"	1992	28266	2005	28266	1	1992	2005	1
"IRG TECHNOLOGIES INC"	"450040"	1992	28270	1994	28270	1	1992	1994	
"ASTRAZENECA PLC  -ADR"	"046353"	1992	28272	2006	28272	1	1992	2006	1
"AMERICA FIRST REIT INC"	"02364E"	1992	28274	1994	28274	1	1992	1994	
"FNF INDUSTRIES INC"	"30254F"	1992	28276	2000	28276	1	1992	2000	
"ESQUIRE COMMUNICATIONS LTD"	"296658"	1992	28277	1999	28277	1	1992	1999	
"GERMAN AMERICAN BANCORP INC"	"373865"	1993	28278	2006	28278	1	1993	2006	
"MEGATEST CORP"	"584958"	1989	28279	1995	28279	1	1989	1995	1
"SANTA FE ENERGY TRUST"	"802013"	1992	28283	2005	28283	1	1992	2005	
"ESCALA GROUP INC"	"29605W"	1992	28285	2005	28285	1	1992	2005	0
"PETROLEUM GEO-SVCS ASA  -ADR"	"716599"	1991	28286	2006	28286	1	1991	2006	
"HURRY INC  -CL A"	"447807"	1992	28287	2001	28287	1	1992	2001	
"MFS COMMUNICATIONS INC"	"55272T"	1992	28289	1995	28289	1	1992	1995	
"NATIONAL HOME CENTERS INC"	"636376"	1992	28291	2000	28291	1	1992	2000	
"TITAN INTERNATIONAL INC"	"88830M"	1992	28295	2006	28295	1	1992	2006	1
"CLAYTON WILLIAMS ENERGY INC"	"969490"	1992	28296	2006	28296	1	1992	2006	
"LIVENT INC"	"537902"	1993	28299	1997	28299	1	1993	1997	0
"ENVIRONMENTAL SAFEGUARDS INC"	"294069"	1995	28300	2003	28300	1	1995	2003	1
"ELLIS PERRY INTL INC"	"288853"	1992	28303	2006	28303	1	1992	2006	
