pdpass	pdpco1	source	begyr1	gvkey1	endyr1	pdpco2	begyr2	gvkey2	endyr2	pdpco3	begyr3	gvkey3	endyr3	pdpco4	begyr4	gvkey4	endyr4	pdpco5	begyr5	gvkey5	endyr5
10679419	11160	"PASS1"	1983	11160	2002																
10679463	115245	"MTCH1"	1996	115245	2005																
10679560	100049	"UPDT2"	1994	100049	1998																
10680161	8573	"NBER"	1981	8573	1998																
10680439	9135	"MTCH1"	1981	9135	1990																
10680549	9135	"MTCH1"	1981	9135	1990																
10680805	10588	"NBER"	1966	10588	2004																
10681378	3362	"NBER"	1962	3362	2005																
10681488	3229	"MTCH1"	1978	3229	2004																
10681498	6403	"NBER"	1950	6403	2005																
10681538	3191	"PASS1"	1982	3191	1983																
10681655	10622	"MTCH1"	1975	10622	2005																
10681700	9308	"MTCH1"	1974	9308	1999	5047	2000	5047	2005												
10682144	6972	"MTCH1"	1976	6972	2005																
10682147	12715	"PASS1"	1985	12715	1991																
10682204	1604	"MTCH1"	1977	1604	1981																
10683178	100114	"MTCH1"	1998	100114	2004																
10683238	101352	"MTCH1"	1990	101352	2006																
10683389	6537	"PASS1"	1950	6537	1992																
10683635	19435	"NBER"	1988	19435	1997																
10684178	8247	"NBER"	1950	8247	2006																
10684186	6096	"MTCH1"	1950	6096	1999	10787	2000	10787	2005												
10684210	11794	"NBER"	1984	11794	1994																
10684440	4169	"PASS1"	1983	4169	1990	3229	1991	3229	2004												
10684583	5535	"NBER"	1950	5535	1985	4321	1986	4321	2005												
10684676	4058	"NBER"	1960	4058	2006																
10684707	3784	"NBER"	1962	3784	1988																
10684845	28742	"MTCH1"	1992	28742	2006																
10685374	5439	"NBER"	1950	5439	2006																
10685650	9459	"NBER"	1950	9459	2006																
10685658	4926	"NBER"	1962	4926	2006																
10685666	1817	"m2006"	1974	1817	1991																
10686023	7585	"MTCH1"	1950	7585	2006																
10686491	11288	"NBER"	1956	11288	1999	8530	2000	8530	2005												
10686534	3736	"NBER"	1968	3736	1998	4321	1999	4321	2005												
10686735	3795	"m2006"	1974	3795	1978																
10687054	8762	"NBER"	1950	8762	2006																
10687129	7759	"FRAT"	1967	7759	2006																
10687368	17611	"MTCH1"	1992	17611	1999																
10687610	25658	"FRAT"	1971	3352	1973	25658	1974	25658	1996	18699	1998	18699	2005								
10687793	28478	"NBER"	1980	5555	1991	28478	1992	28478	1997	14385	1998	14385	2005								
10687822	7515	"FRAT"	1950	7515	2000																
10687993	5606	"NBER"	1950	5606	2006																
10688064	10156	"FRAT"	1950	10156	2006																
10688346	64915	"PASS1"	1995	64915	2006																
10688460	5234	"NBER"	1950	5234	2006																
10688865	61402	"MTCH1"	1994	61402	2005																
10688950	3766	"MTCH1"	1973	3766	1983																
10689081	4133	"PASS1"	1982	4133	1988																
10689138	12526	"PASS1"	1985	12526	1987																
10689346	8822	"NBER"	1982	8822	1987																
10689348	12428	"PASS1"	1958	12428	2006																
10689386	5938	"PASS1"	1983	5938	1986																
10689404	7215	"PASS1"	1979	7215	2000																
10689524	10163	"NBER"	1950	10163	1998	10983	1999	10983	2005												
10689789	12329	"PASS1"	1985	12329	1998																
10690351	7875	"NBER"	1950	9280	1971	7875	1972	7875	2006												
10690581	11083	"NBER"	1982	11083	1990	13421	1991	13421	2005												
10690690	8460	"NBER"	1965	8460	1998																
10690829	1599	"MTCH1"	1950	1599	1987																
10690851	6074	"NBER"	1973	6074	1996																
10690877	1410	"PASS1"	1962	1410	2006																
10691112	8568	"PASS1"	1974	8568	1979																
10691188	9352	"NBER"	1979	9352	1985	7835	2003	7835	2003	3863	2004	3863	2005								
10691941	4145	"FRAT"	1955	4145	2006																
10691952	12212	"MTCH1"	1985	12212	2006																
10691983	15495	"MTCH1"	1985	11947	1987	15495	1988	15495	2005												
10692018	9967	"PHRM"	1961	9967	1988	2403	1989	2403	2006												
10692030	19364	"MTCH1"	1990	19364	1999	24625	2000	24625	2005												
10692318	12423	"PASS1"	1985	12423	2003																
10692338	3840	"NBER"	1962	3840	2003																
10692414	3650	"NBER"	1950	3650	2006																
10692570	4471	"NBER"	1967	4471	1995	8382	1996	8382	1998												
10693186	10232	"NBER"	1979	10232	2005																
10693214	7579	"MTCH1"	1972	7579	1978																
10693405	7045	"NBER"	1973	7045	1999																
10693422	7171	"NBER"	1961	7171	2006																
10693486	12168	"PASS1"	1985	12168	1996																
10693536	12312	"NBER"	1981	12312	2003																
10693623	5567	"NBER"	1960	5567	2006																
10693904	10242	"PASS1"	1981	10242	1993																
10694608	5650	"MTCH1"	1973	5650	2006																
10694727	7585	"NBER"	1950	7585	2006																
10694860	1564	"FRAT"	1980	1564	1990																
10694877	4145	"FRAT"	1955	4145	2006																
10695037	13408	"MTCH1"	1986	13408	1998	8463	1999	8463	2005												
10695115	6036	"NBER"	1980	6036	2005																
10695214	5772	"NBER"	1965	5772	2003																
10695481	13369	"NBER"	1986	13369	2006																
10695654	5902	"PASS1"	1985	5902	2006																
10695890	8138	"NBER"	1967	8138	1979																
10696049	10847	"NBER"	1963	10847	1983																
10696137	10443	"NBER"	1958	10443	2006																
10696277	148328	"NBER"	1960	9981	1986	148328	2000	148328	2005												
10696423	3572	"PASS1"	1982	3572	1986	8902	1988	8902	2004												
10696975	21792	"PASS1"	1989	21792	2006																
10697107	4199	"NBER"	1950	4199	2006																
10697163	23700	"NBER"	1990	23700	2006																
10697518	10519	"MTCH1"	1950	10519	2006																
10697688	11483	"NBER"	1951	11483	1998																
10697710	1832	"NBER"	1974	1832	1999																
10697814	10932	"NBER"	1964	10932	1975																
10698709	60899	"PASS1"	1994	60899	2001	114370	2002	114370	2005												
10698724	13407	"NBER"	1986	13407	2006																
10698839	8424	"NBER"	1962	8424	1999																
10698895	8722	"m2006"	1974	8722	1984																
10699168	1966	"PASS1"	1974	1966	1991																
10699190	3930	"NBER"	1950	3930	1994	28520	1995	28520	2004												
10699306	1602	"NBER"	1982	1602	2006																
10699636	5085	"NBER"	1974	5085	1979	9965	1981	9965	1990												
10699689	64153	"m2006"	1994	64153	2002																
10699773	10532	"PASS1"	1980	10532	2005																
10700037	10490	"NBER"	1966	10490	1990																
10700129	6494	"MTCH1"	1976	6494	2005																
10700249	7346	"NBER"	1979	7346	2006																
10700254	66290	"MTCH1"	1995	66290	2006																
10700346	3868	"NBER"	1960	3868	1989																
10700355	2450	"NBER"	1974	2450	1989																
10700514	2972	"PASS1"	1984	2972	1984																
10701037	9967	"PHRM"	1961	9967	1988	2403	1989	2403	2006												
10701086	3650	"MTCH1"	1950	3650	2006																
10701281	8603	"PASS1"	1982	8603	1984																
10701429	11465	"NBER"	1957	11465	2006																
10701701	9967	"PHRM"	1961	9967	1988	2403	1989	2403	2006												
10701814	10625	"NBER"	1970	10625	1996	25422	1997	25422	2000	15247	2001	15247	2005								
10701820	4645	"FRAT"	1982	4645	2006																
10702870	125134	"PASS1"	1999	125134	2004																
10702894	7015	"PASS1"	1969	7015	1978																
10703248	10230	"NBER"	1981	10230	1993	28712	1994	28712	2005												
10704065	11928	"MTCH1"	1985	11928	1992																
10704074	7116	"NBER"	1950	7116	2006																
10704151	10323	"NBER"	1960	10323	1996	2787	1998	2787	2005												
10704200	5834	"PASS1"	1984	5834	1984																
10704254	5650	"MTCH1"	1973	5650	2006																
10704505	25134	"PASS1"	1991	25134	1996																
10704506	4600	"NBER"	1950	4600	2006																
10705590	140760	"MTCH1"	1998	140760	2006																
10705762	162254	"MTCH1"	1950	2827	1985	162254	1987	13934	1996	162254	1998	125434	2002	162254	2003	162254	2006				
